Item No,Location,Brand,Type/Material,Style,Pattern,Size,Group,Color,Procurement Price,Cost Price,Base Rate (Without Tax),Discount Percentage,base_rate_discount,GST %,MRP Price (With Tax),Stock opening date,Stock closing date,Quantity available,Quantity sold
81,Madurai,Tommy Hilfiger,,Formal,Plain,L,Spring,Green,2386.07,2672.3984,4275.83744,45,2351.71,15,2704.47,31-May-24,28-Sep-24,416,312
82,T.Nagar,Celio,Polyester,Formal,Plain,S,Autumn,Red,2967.43,3323.5216,5317.63456,5,5051.75,12,5657.96,01-Feb-24,31-May-24,544,408
83,Trichy,Tommy Hilfiger,Wool,Slim,Solid,XXL,Winter,Green,553.37,619.7744,991.63904,30,694.15,12,777.45,25-Sep-23,23-Jan-24,109,82
84,T.Nagar,Arrow,Denim,Formal,Plain,M,Spring,Grey,3579.25,4008.76,6414.016,25,4810.51,12,5387.77,13-Jan-24,12-May-24,73,55
85,Chrompet,Celio,,Casual,Washed,M,Winter,Green,1310.13,1467.3456,2347.75296,30,1643.43,15,1889.94,24-Aug-23,22-Dec-23,401,301
86,Trichy,Zara,,Slim,Washed,M,Summer,Grey,1517.56,1699.6672,2719.46752,20,2175.57,14,2480.15,28-Feb-24,27-Jun-24,129,97
87,Trichy,Polo,Linen,Bootcut,Solid,M,Winter,Black,1647.43,1845.1216,2952.19456,45,1623.71,16,1883.5,17-Jun-24,15-Oct-24,226,170
88,Coimbatore,Allen Solly,Cotton,Casual,Solid,L,Autumn,Red,750.65,840.728,1345.1648,5,1277.91,12,1431.26,23-May-24,20-Sep-24,946,710
89,Trichy,Allen Solly,Cotton,Bootcut,Plain,L,Summer,Black,1746.86,1956.4832,3130.37312,40,1878.22,15,2159.95,26-Apr-24,24-Aug-24,684,513
90,Chrompet,Allen Solly,,Bootcut,Solid,M,Summer,Black,2628.09,2943.4608,4709.53728,25,3532.15,15,4061.97,27-Feb-24,26-Jun-24,696,522
91,Salem,Arrow,Linen,Formal,Stonewashed,XL,Spring,Green,926.34,1037.5008,1660.00128,35,1079,15,1240.85,11-Aug-23,09-Dec-23,894,670
92,Trichy,Celio,Denim,Casual,Stripes,L,Winter,Blue,778.97,872.4464,1395.91424,10,1256.32,16,1457.33,28-Jun-24,26-Oct-24,238,178
93,Madurai,Polo,Denim,Jogger,Stonewashed,XXL,Winter,Black,549.68,615.6416,985.02656,50,492.51,15,566.39,04-Jun-24,02-Oct-24,412,309
94,Salem,Polo,Cotton,Casual,Washed,XL,Winter,Red,2340.15,2620.968,4193.5488,45,2306.45,16,2675.48,22-Oct-23,19-Feb-24,987,740
95,Chrompet,Tommy Hilfiger,Cotton,Casual,Stonewashed,L,Autumn,Black,1222.73,1369.4576,2191.13216,45,1205.12,15,1385.89,08-Nov-23,07-Mar-24,438,328
96,Madurai,Tommy Hilfiger,Wool,Formal,Stripes,M,Spring,Blue,2256.67,2527.4704,4043.95264,20,3235.16,16,3752.79,05-Dec-23,03-Apr-24,410,308
97,Chrompet,Polo,Cotton,Formal,Plain,XXL,Summer,Grey,1360.53,1523.7936,2438.06976,5,2316.17,14,2640.43,19-Mar-24,17-Jul-24,709,532
98,T.Nagar,Zara,Denim,Formal,Stonewashed,L,Winter,Black,592.08,663.1296,1061.00736,30,742.71,15,854.12,15-Nov-23,14-Mar-24,728,546
99,Chrompet,Polo,Linen,Jogger,Washed,L,Summer,Green,1801.07,2017.1984,3227.51744,15,2743.39,14,3127.46,12-Nov-23,11-Mar-24,734,550
100,Salem,Allen Solly,,Formal,Stonewashed,M,Autumn,Black,2986.04,3344.3648,5350.98368,0,5350.98,12,5993.1,26-Jul-24,23-Nov-24,715,536
101,Coimbatore,Allen Solly,Linen,Bootcut,Stripes,L,Autumn,Grey,1182.48,1324.3776,2119.00416,25,1589.25,16,1843.53,28-Dec-23,26-Apr-24,940,705
102,Trichy,Polo,,Slim,Solid,L,Summer,Blue,3260.63,3651.9056,5843.04896,15,4966.59,16,5761.24,23-Dec-23,21-Apr-24,56,42
103,Madurai,Celio,Cotton,Jogger,Washed,L,Autumn,Black,2273.73,2546.5776,4074.52416,15,3463.35,16,4017.49,17-Feb-24,16-Jun-24,611,458
104,Salem,Celio,Denim,Casual,Stripes,XL,Autumn,Red,3087.66,3458.1792,5533.08672,45,3043.2,18,3590.98,07-Jan-24,06-May-24,941,706
105,Coimbatore,Zara,Linen,Formal,Solid,M,Winter,Red,2171.11,2431.6432,3890.62912,25,2917.97,15,3355.67,16-Dec-23,14-Apr-24,219,164
106,T.Nagar,Zara,Linen,Bootcut,Stonewashed,M,Spring,Blue,1147.92,1285.6704,2057.07264,30,1439.95,15,1655.94,25-May-24,22-Sep-24,354,266
107,Coimbatore,Arrow,Linen,Formal,Plain,XL,Summer,Black,3832.22,4292.0864,6867.33824,15,5837.24,12,6537.71,23-Jul-24,20-Nov-24,832,624
108,Chrompet,Celio,Polyester,Jogger,Solid,L,Spring,Black,2418.23,2708.4176,4333.46816,15,3683.45,16,4272.8,19-Dec-23,17-Apr-24,861,646
109,Madurai,Tommy Hilfiger,,Bootcut,Stripes,S,Autumn,Blue,2005.99,2246.7088,3594.73408,35,2336.58,18,2757.16,02-Sep-23,31-Dec-23,705,529
110,Chrompet,Allen Solly,Polyester,Jogger,Stripes,L,Summer,Green,813.53,911.1536,1457.84576,5,1384.95,18,1634.24,12-Jul-24,09-Nov-24,228,171
111,Coimbatore,Celio,,Jogger,Washed,M,Summer,Grey,783.5,877.52,1404.032,40,842.42,18,994.06,16-Jul-24,13-Nov-24,876,657
112,Madurai,Allen Solly,Cotton,Jogger,Solid,L,Summer,Red,3359.01,3762.0912,6019.34592,5,5718.38,16,6633.32,11-Oct-23,08-Feb-24,628,471
113,Trichy,Celio,,Slim,Washed,XXL,Autumn,Red,591.55,662.536,1060.0576,20,848.05,12,949.82,24-Aug-23,22-Dec-23,601,451
114,Trichy,Allen Solly,Linen,Bootcut,Plain,S,Summer,Blue,798.79,894.6448,1431.43168,25,1073.57,18,1266.81,22-Aug-23,20-Dec-23,762,572
115,Madurai,Arrow,Denim,Formal,Stripes,M,Spring,Grey,1435.63,1607.9056,2572.64896,20,2058.12,16,2387.42,21-Sep-23,19-Jan-24,365,274
116,Trichy,Arrow,Linen,Slim,Washed,XL,Autumn,Red,1539.4,1724.128,2758.6048,40,1655.16,16,1919.99,25-Jul-24,22-Nov-24,779,584
117,Coimbatore,Tommy Hilfiger,Linen,Slim,Washed,L,Autumn,Green,2555.77,2862.4624,4579.93984,10,4121.95,18,4863.9,12-Jul-24,09-Nov-24,338,254
118,Trichy,Arrow,,Bootcut,Washed,M,Autumn,Green,3543.03,3968.1936,6349.10976,35,4126.92,15,4745.96,08-Aug-23,06-Dec-23,374,280
119,Chrompet,Arrow,Denim,Jogger,Solid,XL,Summer,Black,2090.54,2341.4048,3746.24768,25,2809.69,14,3203.05,25-Feb-24,24-Jun-24,799,599
120,Chrompet,Zara,,Jogger,Washed,S,Winter,Red,1569.07,1757.3584,2811.77344,5,2671.18,15,3071.86,15-Jul-24,12-Nov-24,389,292
121,Trichy,Polo,Wool,Slim,Solid,M,Winter,Green,746.86,836.4832,1338.37312,50,669.19,15,769.57,03-Jan-24,02-May-24,832,624
122,Salem,Celio,,Casual,Washed,XXL,Autumn,Blue,1715.64,1921.5168,3074.42688,45,1690.93,16,1961.48,06-Jun-24,04-Oct-24,494,370
123,Salem,Allen Solly,Denim,Casual,Stonewashed,XL,Spring,Green,3077.17,3446.4304,5514.28864,10,4962.86,12,5558.4,13-Jan-24,12-May-24,126,94
124,Coimbatore,Celio,Polyester,Jogger,Washed,S,Winter,Red,2165.47,2425.3264,3880.52224,35,2522.34,15,2900.69,11-Jul-24,08-Nov-24,350,262
125,Salem,Celio,Cotton,Jogger,Plain,S,Winter,Blue,2595.47,2906.9264,4651.08224,10,4185.97,15,4813.87,21-Mar-24,19-Jul-24,993,745
126,Salem,Arrow,Cotton,Slim,Solid,S,Spring,Blue,760.42,851.6704,1362.67264,35,885.74,14,1009.74,27-Aug-23,25-Dec-23,520,390
127,Trichy,Zara,Linen,Bootcut,Plain,XXL,Autumn,Black,2746.14,3075.6768,4921.08288,30,3444.76,12,3858.13,09-Jul-24,06-Nov-24,96,72
128,Coimbatore,Allen Solly,Polyester,Jogger,Plain,M,Autumn,Grey,2731.3,3059.056,4894.4896,0,4894.49,18,5775.5,19-Sep-23,17-Jan-24,313,235
129,Chrompet,Polo,,Formal,Plain,S,Summer,Red,2641.35,2958.312,4733.2992,50,2366.65,15,2721.65,14-Jan-24,13-May-24,130,98
130,Madurai,Celio,Wool,Casual,Stonewashed,XXL,Spring,Red,601.21,673.3552,1077.36832,5,1023.5,15,1177.03,07-Mar-24,05-Jul-24,288,216
131,Madurai,Zara,Cotton,Bootcut,Washed,L,Summer,Grey,1850.33,2072.3696,3315.79136,5,3150,18,3717,02-Nov-23,01-Mar-24,964,723
132,Madurai,Zara,,Slim,Plain,S,Summer,Grey,1855.92,2078.6304,3325.80864,45,1829.19,16,2121.86,14-Aug-23,12-Dec-23,539,404
133,Madurai,Polo,Wool,Casual,Plain,XXL,Autumn,Grey,3553.42,3979.8304,6367.72864,35,4139.02,14,4718.48,19-Aug-23,17-Dec-23,855,641
134,Coimbatore,Zara,Polyester,Jogger,Stripes,S,Summer,Blue,3957.9,4432.848,7092.5568,50,3546.28,14,4042.76,10-Oct-23,07-Feb-24,115,86
135,T.Nagar,Zara,Wool,Formal,Solid,XXL,Autumn,Green,3558.34,3985.3408,6376.54528,0,6376.55,15,7333.03,06-Jun-24,04-Oct-24,527,395
136,Trichy,Arrow,Denim,Jogger,Washed,S,Summer,Grey,710.53,795.7936,1273.26976,35,827.63,18,976.6,01-Oct-23,29-Jan-24,737,553
137,T.Nagar,Zara,Denim,Slim,Washed,XL,Autumn,Green,3724.51,4171.4512,6674.32192,5,6340.61,14,7228.3,28-Mar-24,26-Jul-24,465,349
138,Chrompet,Polo,Polyester,Casual,Stripes,M,Summer,Green,1170.23,1310.6576,2097.05216,5,1992.2,16,2310.95,13-Aug-23,11-Dec-23,79,59
139,Coimbatore,Tommy Hilfiger,Cotton,Jogger,Washed,L,Spring,Grey,3726.49,4173.6688,6677.87008,0,6677.87,12,7479.21,02-Jun-24,30-Sep-24,660,495
140,Salem,Allen Solly,Cotton,Jogger,Stripes,XXL,Spring,Red,1695.44,1898.8928,3038.22848,25,2278.67,15,2620.47,05-Jul-24,02-Nov-24,138,104
141,Salem,Arrow,,Jogger,Plain,S,Autumn,Red,1324.99,1483.9888,2374.38208,20,1899.51,12,2127.45,12-Feb-24,11-Jun-24,57,43
142,Salem,Arrow,Denim,Formal,Stripes,M,Summer,Green,3880.62,4346.2944,6954.07104,0,6954.07,18,8205.8,22-Nov-23,21-Mar-24,500,375
143,Salem,Zara,Cotton,Slim,Stonewashed,S,Spring,Black,3124.93,3499.9216,5599.87456,0,5599.87,16,6495.85,17-Feb-24,16-Jun-24,247,185
144,Trichy,Polo,Polyester,Formal,Stonewashed,M,Summer,Red,1558.58,1745.6096,2792.97536,35,1815.43,15,2087.74,02-Mar-24,30-Jun-24,510,382
145,Chrompet,Allen Solly,Cotton,Formal,Solid,M,Autumn,Red,2905.55,3254.216,5206.7456,30,3644.72,16,4227.88,11-Dec-23,09-Apr-24,498,374
146,Chrompet,Allen Solly,Cotton,Casual,Washed,XXL,Spring,Black,2725.67,3052.7504,4884.40064,15,4151.74,14,4732.98,05-Sep-23,03-Jan-24,380,285
147,T.Nagar,Allen Solly,Denim,Formal,Stonewashed,S,Autumn,Black,1448.99,1622.8688,2596.59008,50,1298.3,16,1506.03,09-Mar-24,07-Jul-24,501,376
148,Chrompet,Arrow,Wool,Formal,Stripes,S,Spring,Black,3219.4,3605.728,5769.1648,25,4326.87,12,4846.09,26-Mar-24,24-Jul-24,613,460
149,Trichy,Arrow,Linen,Slim,Stripes,XL,Spring,Black,2011.84,2253.2608,3605.21728,40,2163.13,18,2552.49,08-Oct-23,05-Feb-24,320,240
150,Salem,Allen Solly,Wool,Slim,Plain,XL,Spring,Red,2870.49,3214.9488,5143.91808,35,3343.55,14,3811.65,08-Apr-24,06-Aug-24,541,406
151,T.Nagar,Tommy Hilfiger,Polyester,Bootcut,Plain,L,Summer,Grey,2265.12,2536.9344,4059.09504,0,4059.1,12,4546.19,05-Oct-23,02-Feb-24,611,458
152,Madurai,Polo,,Jogger,Plain,L,Spring,Black,3859.41,4322.5392,6916.06272,40,4149.64,18,4896.58,12-Sep-23,10-Jan-24,85,64
153,Trichy,Zara,Polyester,Jogger,Plain,M,Spring,Grey,2397.28,2684.9536,4295.92576,15,3651.54,14,4162.76,26-Jul-24,23-Nov-24,728,546
154,Madurai,Celio,Wool,Formal,Plain,XXL,Summer,Grey,1952.41,2186.6992,3498.71872,35,2274.17,18,2683.52,23-Nov-23,22-Mar-24,119,89
155,Chrompet,Arrow,Cotton,Casual,Stonewashed,L,Summer,Red,2721.13,3047.6656,4876.26496,45,2681.95,15,3084.24,09-Nov-23,08-Mar-24,508,381
156,Salem,Zara,Wool,Casual,Stripes,L,Winter,Blue,1306.96,1463.7952,2342.07232,15,1990.76,12,2229.65,02-Aug-23,30-Nov-23,384,288
157,Madurai,Zara,,Slim,Plain,XXL,Winter,Black,2080.85,2330.552,3728.8832,45,2050.89,18,2420.05,30-May-24,27-Sep-24,124,93
158,T.Nagar,Arrow,Wool,Bootcut,Washed,XL,Winter,Grey,2650.91,2969.0192,4750.43072,0,4750.43,15,5462.99,14-Feb-24,13-Jun-24,561,421
159,Madurai,Allen Solly,Wool,Jogger,Stripes,M,Autumn,Grey,3777.97,4231.3264,6770.12224,30,4739.09,15,5449.95,08-Jul-24,05-Nov-24,94,70
